Date	NumOutbreaks	Days_since_start
2013-12-30	2	0
2014-01-20	5	21
2014-01-27	3	28
2014-02-03	5	35
2014-02-10	3	42
2014-02-17	5	49
2014-02-24	9	56
2014-03-03	8	63
2014-03-10	26	70
2014-03-17	18	77
2014-03-24	31	84
2014-03-31	29	91
2014-04-07	28	98
2014-04-14	17	105
2014-04-21	11	112
2014-04-28	13	119
2014-05-05	15	126
2014-05-12	8	133
2014-05-19	31	140
2014-05-26	69	147
2014-06-02	67	154
2014-06-09	126	161
2014-06-16	110	168
2014-06-23	106	175
2014-06-30	124	182
2014-07-07	156	189
2014-07-14	122	196
2014-07-21	237	203
2014-07-28	287	210
2014-08-04	389	217
2014-08-11	507	224
2014-08-18	737	231
2014-08-25	768	238
2014-09-01	819	245
2014-09-08	844	252
2014-09-15	1018	259
2014-09-22	997	266
2014-09-29	831	273
2014-10-06	859	280
2014-10-13	863	287
2014-10-20	786	294
2014-10-27	947	301
2014-11-10	774	315
2014-11-17	807	322
2014-11-24	834	329
2014-12-01	665	336
2014-12-08	601	343
2014-12-15	667	350
2014-12-22	682	357
2014-12-29	495	364
2015-01-05	400	371
2015-01-12	209	378
2015-01-19	194	385
2015-01-26	181	392
2015-02-02	189	399
2015-02-09	195	406
2015-02-16	147	413
2015-02-23	138	420
2015-03-02	177	427
2015-03-09	156	434
2015-03-16	97	441
2015-03-23	102	448
2015-03-30	58	455
2015-04-06	61	462
2015-04-13	39	469
2015-04-20	36	476
2015-04-27	28	483
2015-05-04	16	490
2015-05-11	56	497
2015-05-18	44	504
2015-05-25	37	511
2015-06-01	37	518
2015-06-08	43	525
2015-06-15	100	532
2015-06-22	80	539
2015-06-29	38	546
2015-07-06	22	553
2015-07-13	31	560
2015-07-20	10	567
2015-07-27	5	574
2015-08-03	4	581
2015-08-10	11	588
2015-08-17	5	595
2015-08-24	2	602
2015-08-31	1	609
2015-09-14	3	623
2015-09-21	4	630
2015-10-12	3	651
2015-10-19	3	658
2015-10-26	1	665
